Location	Time	Class	Type	Length	Width	ID
AND	168.83	B	Sedan	6.0000	1.7000	108
NOR	169.50	D	Bus	14.5000	2.5500	109
NOR	170.33	D	BigTruck	19.2500	2.6500	109
NOR	170.83	C	MiniTruckPickup	6.4000	2.0000	109
GOK	171.50	B	Sedan	6.0000	1.7000	109
NOR	172.17	C	Van	7.9500	2.0000	109
AND	174.00	C	Van	7.9500	2.0000	109
AND	174.33	B	Sedan	6.0000	1.7000	110
AND	175.83	C	Van	7.9500	2.0000	111
GOK	177.00	C	Jeep	6.9500	1.8500	112
NOR	177.17	C	Van	7.9500	2.0000	112
GOK	179.83	C	Van	7.9500	2.0000	112
AND	180.83	A	PedicabTricycle	2.1500	1.6000	112
NOR	181.50	C	Van	7.9500	2.0000	113
AND	182.00	C	MiniVanSUV	6.4000	1.7500	113
GOK	182.17	C	Van	7.9500	2.0000	114
GOK	182.17	A	PedicabTricycle	2.1500	1.6000	114
AND	184.17	B	Sedan	6.0000	1.7000	114
GOK	184.67	C	Van	7.9500	2.0000	115
GOK	185.00	B	Sedan	6.0000	1.7000	115
GOK	185.83	C	Van	7.9500	2.0000	116
GOK	186.50	D	Bus	14.5000	2.5500	116
AND	187.50	C	Van	7.9500	2.0000	117
NOR	187.83	C	Van	7.9500	2.0000	118
AND	188.33	D	Bus	14.5000	2.5500	118
AND	188.33	A	BicycleMotorcycle	2.1500	0.6500	119
NOR	188.33	D	Bus	14.5000	2.5500	120
GOK	188.83	A	BicycleMotorcycle	2.1500	0.6500	120
AND	189.00	B	Sedan	6.0000	1.7000	121
NOR	191.67	D	Bus	14.5000	2.5500	122
GOK	192.33	D	Bus	14.5000	2.5500	122
NOR	192.50	C	Van	7.9500	2.0000	122
AND	193.33	C	Van	7.9500	2.0000	122
AND	195.17	C	Van	7.9500	2.0000	123
AND	195.83	B	Sedan	6.0000	1.7000	124
AND	196.00	C	Van	7.9500	2.0000	125
GOK	196.67	B	Sedan	6.0000	1.7000	126
NOR	197.00	C	Jeep	6.9500	1.8500	126
AND	197.17	B	Sedan	6.0000	1.7000	126
NOR	197.17	C	MiniTruckPickup	6.4000	2.0000	127
NOR	197.17	D	Bus	14.5000	2.5500	127
NOR	197.33	D	Bus	14.5000	2.5500	127
NOR	197.50	C	Jeep	6.9500	1.8500	127
NOR	197.67	C	Van	7.9500	2.0000	127
AND	200.00	A	BicycleMotorcycle	2.1500	0.6500	127
GOK	204.33	B	Sedan	6.0000	1.7000	128
AND	205.17	C	Jeep	6.9500	1.8500	128
AND	206.83	A	BicycleMotorcycle	2.1500	0.6500	129
GOK	208.17	B	Sedan	6.0000	1.7000	130
GOK	208.50	C	Jeep	6.9500	1.8500	130
AND	208.67	B	Sedan	6.0000	1.7000	130
NOR	208.67	C	Van	7.9500	2.0000	131
NOR	208.83	C	Van	7.9500	2.0000	131
NOR	209.00	C	Jeep	6.9500	1.8500	131
AND	209.17	C	Van	7.9500	2.0000	131
NOR	209.17	D	BigTruck	19.2500	2.6500	132
AND	210.17	B	Sedan	6.0000	1.7000	132
AND	210.33	B	Sedan	6.0000	1.7000	133
AND	211.00	C	MiniVanSUV	6.4000	1.7500	134
AND	212.50	C	Jeep	6.9500	1.8500	135
NOR	214.00	D	Bus	14.5000	2.5500	136
NOR	214.00	B	Sedan	6.0000	1.7000	136
NOR	214.33	B	Sedan	6.0000	1.7000	136
NOR	214.50	B	Sedan	6.0000	1.7000	136
NOR	214.50	C	Van	7.9500	2.0000	136
NOR	216.17	C	Van	7.9500	2.0000	136
AND	218.00	A	BicycleMotorcycle	2.1500	0.6500	136
NOR	220.00	B	Sedan	6.0000	1.7000	137
